25.07.23 12:52:13.396 [FelixStartLevel] INFO  org.eclipse.jetty.server.Server - jetty-11.0.22; built: 2024-06-27T16:27:26.756Z; git: e711d4c7040cb1e61aa68cb248fa7280b734a3bb; jvm 11.0.27+6
25.07.23 12:52:13.579 [FelixStartLevel] INFO  o.e.j.s.s.DefaultSessionIdManager - Session workerName=node0
25.07.23 12:52:13.609 [FelixStartLevel] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@30c38e6a{/,null,AVAILABLE}
25.07.23 12:52:13.639 [FelixStartLevel] INFO  org.eclipse.jetty.server.Server - Started Server@6f9ece28{STARTING}[11.0.22,sto=0] @3291ms
25.07.23 12:52:13.983 [FelixStartLevel] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@49497a3b{HTTP/1.1, (http/1.1)}{0.0.0.0:8888}
25.07.23 12:52:14.051 [FelixStartLevel] INFO  o.e.jetty.util.ssl.SslContextFactory - x509=X509@5234161a(openmuc,h=[openmuc],a=[],w=[]) for Server@16288a8f[provider=null,keyStore=file:///C:/Users/Rightwatts/openmuc/modbus-to-modbus/modbusgateway/openmuc/framework/conf/https-certificate.jks,trustStore=null]
25.07.23 12:52:14.205 [FelixStartLevel] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1e0e03e9{SSL, (ssl, http/1.1)}{0.0.0.0:8889}
25.07.23 12:52:14.205 [FelixStartLevel] INFO  org.apache.felix.http - Started Jetty 11.0.22 at port(s) HTTP:8888 HTTPS:8889 on context path / [minThreads=8,maxThreads=200,acceptors=1,selectors=4]
25.07.23 12:52:14.934 [FelixStartLevel] INFO  o.o.f.a.m.server.ModbusServer - Activating Modbus Server Service, Dynamic Modbus Server Service
25.07.23 12:52:14.996 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Starting activation of Open MUC | Modbus gateway
25.07.23 12:52:14.996 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Get Device Data Method Activated
25.07.23 12:52:15.151 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Node API responded with status code: 201
25.07.23 12:52:15.151 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Device API Response: [{"Id":14,"Name":"devTest","Port":"502","IPAddress":"127.0.0.1","Mode":"Tcp","SamplingInterval":"2000","Timeout":"6000","DeviceProfileId":12,"UnitId":"1"}]
25.07.23 12:52:15.161 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Get Profile Data Method Activated
25.07.23 12:52:15.179 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Profile API Response: [{"ProfileName":"Modbus Diagslave","DeviceMake":"Diagslave","ProfileModel":"Modbus Test","ProfileDescription":"for testing","Id":12,"isActive":true}]
25.07.23 12:52:15.181 [FelixStartLevel] INFO  o.o.f.a.m.s.ModbusConfigService - Get Mapping Data Method Activated
